,original,detoxified,similarity,orig_label
149,believe When you have a fat belly then you are insulin resistant and can remedy it without medicine by fasting... info is here http http,Believe When you have a fat belly then you are insulin resistant and can remedy it,0.9396621584892273,OFF
150,charlottes vile speech trump should've given. http t cot c ville conservatives charlottesville kkk liberty gop,charlottes vile speech trump should've given. http t cot c v,0.9653953313827515,OFF
151,"news Jeff Sessions: If you want more death, 'listen to the ACLU, Antifa, Black Lives Matter'"" http cnbc","news Jeff Sessions: If you want more death,listen to the ACLU, Ant",0.9460443258285522,OFF
152,Anyway this game sucks :),Anyway this game is not good,0.9079011678695679,OFF
153,i believe blase y ford is liar she is fat ugly libreal snowflake she sold her herself to get some cash !! From dems and Iran ! Why she spoke after john kerry iran meeting ?,i believe blase y ford is liar she sold her herself to get some cash,0.9374297857284546,OFF
154,conservatives do NOT represent all Canadians. They are Authoritarian scum. cdn poli on poli http,conservatives do NOT represent all Canadians. They are Authoritarian. cdn poli,0.9644188284873962,OFF
155,"fords attorney says she's receiving death threats and has had to move her family to safety"". Where's the proof that democrats antifa are not doing this to promote this circus?""",fords attorney says she's receiving death threats and has had to move her family to,0.9401557445526123,OFF
156,scott gimp le ruined the walking dead and now he is doing the same to fear twd . Hope the checks cash forever because he should never get another job. amc,scott gimp le ruined the walking dead and now he is doing the same to,0.9478131532669067,OFF
157,Another season for Tom Brady to give it to these niggas,Another season for Tom Brady to give it to them.,0.9298266768455505,OFF
158,"life is but epu when you are black and can say the word nigga"". Feel me my niggas??? http",Life is but epu when you are black and can say the word,0.925479531288147,OFF
159,"emmys host michael che says that only white people thank jesus at award shows are republicans ex crackheads ! liberals which one is the pope ~ republican or ex crackheads ? emmyawards2018 roasted 4 mocking Middle America, ratings hit all-time low! http",emmys host michael che says that only white people thank jesus at award,0.919511079788208,OFF
160,austerity Low pay tuition fees Lack of housing Wages falling universal credit Unaffordable rents nhs crisis Crap railways Empty shops br exit No deal exit from EU windrush grenfell In just 8 short years the have completely fucked the UK,austerity Low pay tuition fees Lack of housing Wages falling universal credit Unaffordable,0.9477931261062622,OFF
161,"republican devin nunes Says Liberals, Antifa Are ‘Causing All of These Riots’ Because ‘We're Winning’ - Newsweek http","republican devin nunes says Liberals, Antifa Are Causing All of",0.9400864839553833,OFF
162,"3 days before BBC Radio 2’s Festival in a Day, they decide to tell us that their headline act isn’t coming anymore. Thanks a lot, now I’ve paid a fortune to see a tonne of acts who are shit and who are of no interest to me :expressionless_face::thumbs_up_light_skin_tone:","3 days before BBC Radio 2’s Festival in a Day, they decide to",0.8741897344589233,OFF
163,tyt live Trump needs to go because he is a danger to the country and the world. Any way we can get rid of him is good,tyt live Trump needs to go because he is a danger to the country and the,0.9614399671554565,OFF
164,david hogg you're nobody.,david hogg you're nobody.,0.9999999403953552,OFF
165,"room 25 is actually incredible, Noname is the shit, always has been, and I’m seein her in like 5 days in Melbourne. Life is good. Have a nice day.","room 25 is actually incredible, Noname is the same, always has been, and",0.9140841960906982,OFF
166,"vaginal davis is a radical performer, educator, and artist who embraces life at the margins of multiple identities. She is an intersex “terrorist drag” queen of Black Creole, Mexican, and German Jewish roots born in Los Angeles, CA sometime around the 60s!","vaginal davis is a radical performer, educator, and artist who embraces life at",0.935233473777771,OFF
167,"desantis de racist as bad a choice as he is, he “distanced” himself from the Prez’s comments today questioning any deaths in Puerto Rico from Hurricane Maria what a putz","desantis de bad a choice as he is, he “distanced”",0.8987998962402344,OFF
168,0-1 lost my acca on the first fucking fight cba,I lost my acca on the first fight cba,0.9479766488075256,OFF
169,Who the hell does he think he is?,Who does he think he is?,0.9588750600814819,OFF
170,She is just nasty,She is not nice.,0.9201123118400574,OFF
171,liberalism is a mental disorder hypocrites democrats hate america democrats are dangerous EVERYTHING LIBERALS TOUCH TURNS TO ABSOLUTE SHIT. http,liberalism is a mental disorder democrats hate america democrats are dangerous,0.8494638204574585,OFF
172,88% of these niggas have podcasts and YouTube channels dedicated to this and shit ain’t getting solved so http,87% of these people have podcasts and YouTube channels dedicated to this and it ain't,0.9588673114776611,OFF
173,Anytime I randomly bust out laughing it’s because I remembered some dumb shit Albria said :loudly_crying_face::loudly_crying_face:,Anytime I randomly bust out laughing it’s because I remembered something Albria,0.899194598197937,OFF
174,:face_with_tears_of_joy: You do not like the Jewish people because you ALL claims they are holding all the money. Sound familiar? Your left wing libtard family is the family of the KKK. You do not hate Jews? That’s funny. Gun control; even funnier. Good luck,face_with_tears_of_joy: You do not like the Jewish,0.8976504802703857,OFF
175,5k Bitches :party_popper::blue_heart:,5k Bitches :party_popper::blue_heart:,0.9999999403953552,OFF
176,conservatives are more upset about bert en ernie being gay than having a sexual predator in the a hooker as and a rapist as supreme court justice,conservatives are more upset about bert en ernie being gay than having him,0.9501566886901855,OFF
177,"conservatives just like old garbage bags blowing in the wind, here's an old garbage bag now... http","conservatives just like old garbage bags blowing in the wind, here's an old garbage",0.9630656838417053,OFF
178,arizona tennessee alaska sc As soon as these RINOS (aka liberals) are up for reelection vote them out! drain the swamp :collision: http,arizona tennessee alaska sc As soon as these RINOS (,0.9142898321151733,OFF
179,bakersfield is why we need gun control! Sorry for the victims other than the gunman himself I hope he rots in hell!,bakersfield is why we need gun control! Sorry for the victims other than the,0.9599399566650391,OFF
180,honour sacrifice boycott match I hope d human rights rats r happy!hope Sidhu is happy! I hope d liberals r happy! Let’s play cricket wth thm let’s thank thm 4 wht they r doing 2our soldiers Let’s celebrate our impotence funny a piddly little nation like pak is taking us 4 a ride,honour sacrifice boycott match I hope d human rights rats r happy!hope Sid,0.9240104556083679,OFF
181,"resist traitors caught on video breaking our laws to further their communist socialism ways and slow down the trump agenda. They are the DC Chapter of Democrat Socialists of America. Forget anTifa, that is a distraction from the real Resistance. maga http",Resist traitors caught on video breaking our laws to further their communist ways and slow,0.9247919917106628,OFF
182,Alex Jones be smokin be dicks out here but mans really got supporters out here :face_with_tears_of_joy:,Alex Jones be bad out here but mans really got supporters out here :face_with,0.9460198879241943,OFF
183,"cory booker is not a hero, he is an American traitor and should be treated as such. Arrest, prosecute, and carry out sentence. kavanaugh confirmation http via","cory booker is not a hero, he is an American traitor and should be",0.9119197726249695,OFF
184,100 Round Goon Bitch Is You Kiddin Me:rolling_on_the_floor_laughing:,100 Round Goon is You Kiddin Me:rolling_on_the_floor,0.9828225374221802,OFF
185,communist news networks rented lips why are you never ever seen protesting and demanding Gun Control on the streets of Chicago? liberals hate america http,communist news networks rented lips why are you never ever seen protesting and demanding Gun Control,0.9577534198760986,OFF
186,more bs = MORE barry soe toro bullshit,more bs = MORE barry soe toro,0.9782172441482544,OFF
187,"tyt live OMG how can a Latino faith based woman think that Trump is Christian. Wow, he is the poster child for immorality and hating Latinos",tyt live OMG how can a Latino faith based woman think that Trump is Christian.,0.9654569029808044,OFF
188,democrats and liberals accuse brett kavanaugh and have no proof!! Meanwhile they supported ted kennedy in his run for and called him the lion of the Senate and he killed a woman. wednesday wisdom news trump http,democrats and liberals accuse brett kavanaugh and have no proof ! Meanwhile they supported,0.9476218223571777,OFF
189,carrey is a pervert himself!,carrey is not good,0.8168225288391113,OFF
190,An American Tail really is one of the most underrated animations ever ever ever. Fuck I cried in this scene,An American Tail really is one of the most underrated animations ever ever ever. I cried,0.9830061197280884,OFF
191,nigga are you stupid your trash dont play with him play with your bitch :face_with_tears_of_joy:,Don't play with him play with your tears.,0.852480411529541,OFF
192,no one ask me But here's my opinion offset keeping this beef up between card ib and he know Cardi slow and believe everything he says.. She is his meal ticket. I just think offset need to sit his ugly ass down.,no one ask me But here's my opinion offset keeping this beef up between card ib,0.9340749979019165,OFF
193,maga who cares about the farm. He had no reason to commit murder. End of story.,maga who cares about the farm. He had no reason to commit murder. End,0.9740612506866455,OFF
194,I guess that’s where swamp ass originated,I guess that's where swamp originated,0.9543512463569641,OFF
195,Titty.,Titty.,0.9999998211860657,OFF
196,"texas Wake up! A Socialist is mesmerizing the weak-minded in your state! YOU ARE **TEXAS** FOR CRYING OUT LOUD! Of all the places that embody the American Spirit of Individual Freedom, TEXAS IS THE STANDARD BEARER Make a damn stand for your GREAT Senator save texas http",Texas Wake up! A Socialist is mesmerizing the weak-minded in your state!,0.8748297691345215,OFF
197,"...and how very irrelevant. But if they didn't find weed, they would have dug up an 8th grade picture of him wearing a hoodie and talk about what a thug"" he is.""","and how very irrelevant. But if they didn't find weed, they would have dug",0.9093418121337891,OFF
198,And she has a pet??? Fucking disgusting http,And she has a pet?,0.9071705341339111,OFF
199,"liberal hypocrisy taco bell When Liberals ask why your against illegal immigration? Taco Bell Employee: No Habla Ingles!"" http",Liberal hypocrisy taco bell When Liberals ask why your against illegal immigration? Taco Bell Employee:,0.9760829210281372,OFF
200,"5 years ago Antifa rapper Pavlos Fyssas surrounded by fascists of the Golden Dawn Party in Keratsini, Athens, and stabbed to death. Five years later WE DO NOT FORGET WE DO NOT FORGIVE http http",5 years ago Antifa rapper Pavlos Fyssas surrounded by fascists of the Golden,0.8681540489196777,OFF
201,black ink crew chi lily they don’t hate you....you Hate you. You are your own worst enemy cause you let your anger get in the way I legit feel like Shes one of the kids I Work with at my job,black ink crew chi lily they don't hate you,0.9123675227165222,OFF
202,justice for sonia s father Mr Usman buzdar sb! please respond to Sonia Iqbal daughter of PTI counsellor from okara whose father was killed during elections by nawaz league killers. She is saying she will commit suicide in front of media. Where is justice?,justice for sonia s father Mr Usman buzdar sb! please respond,0.9319341778755188,OFF
203,(((ruth porat))) another coincidence? these are NOT good people. And now people like her are shapping the narrative by censoring search results :enraged_face:,another coincidence? these are NOT good people. And now people like her are distrub,0.918523907661438,OFF
204,- WORST POTUS. EVER!,- WORST POTUS,0.9465532302856445,OFF
205,conservatives have no genetic ability to understand hypocrisy or irony Right wing ideology gets ya all twisted in knots. on poli ontario party of yesteryear fraud nation http,conservatives have no genetic ability to understand hypocrisy or irony Right wing ideology gets you all,0.9418176412582397,OFF
206,o it nb She is the worst public defender. Trailing her pen uner the words.,o it nb She is the worst public defender. Trailing her pen uner,0.98291015625,OFF
207,the view both am jean I don't believe amy guy ger she is a lying pos! I live near a police station..I hope and pray a cop doesn't bust up in my house thinking it's his/hers and kills me..my God..we/people of color are police prey..we're always in police cross-hairs..no matter what,the view both am jean I don't believe amy guy ger she is a lying,0.9058113098144531,OFF
208,And that’s why you were at NYFW cause your such a class act.. getcho wack ass outta here http,And thatтАЩs why you were at NYFW cause your such,0.9298855662345886,OFF
209,greatest things about the 90s liberals weren’t unhinged,greatest things about the 90s liberals weren't unhinged,0.9978983402252197,OFF
210,"conservatives We mus pray for liberals. They trooly kno knot watt they do. I was brot up socialist democrat, by my wonderful, but, ignorant parents. I served inda military. I learnd I can serve Christ, too. Eye reel -eyesed CONSERVATIVISM was more closely aligned w God.",conservatives We mus pray for liberals. They trooly kno knot watt they do,0.9422087669372559,OFF
211,deplorable dreg of society says she is joe Biden’s girlfriend. lol maga red tidal wave onward dregs http,deplorable dreg of society says she is joe Biden’s girlfriend,0.9565555453300476,OFF
212,"disarm them antifa Please NO ONE be stupid enough to do this. Most of us DO NOT open carry, most of us carry concealed. Anyone stupid enough to do this, that is considered an act of aggression and you will be shot We also carry more than one weapon. We shoot to kill, not maim.",disarm them antifa Please no one be stupid enough to do this. most of,0.901719868183136,OFF
213,All these sick ass ppl from school gave me something and now I have to chug down this nasty drink so it can go away:upside-down_face:,All these people from school gave me something and now I have to chug down this,0.9317886233329773,OFF
214,conservatives are going to make hay out of trudeau s answer but the truth is there’s criminals everywhere and people who will commit heinous acts of violence. Whether they’re from Syria and have brownskin or are white Canadian born it’s tragic all around. http,conservatives are going to make hay out of trudeau s answer but the truth is,0.9253179430961609,OFF
215,conservatives are dumber than dogshit is the central point of my tweet,conservatives are bad than dog is the central point of my tweet,0.9780908823013306,OFF
216,femi nazis are Liberals so me too only counts when they blame a non-Liberal man. bizarro kag2018 :red_heart::United_States: http,Femi nazis are Liberals so me too only counts when they blame a non,0.8968455791473389,OFF
217,crazy redhead in very angry at the orange cheeto Who claims to be our president . She will never accept it. Denying all the lives lost in Puerto Rico? He is a monster http,crazy redhead in very angry at the orange cheeto Who claims to be our president,0.9388670325279236,OFF
218,Bull crap. You know she doesn't care. She is trying to get attention for her Presidential run. Do you see any other Senator giving nonsense? Nope.,You know she doesn't care. She is trying to get attention for her Presidential run,0.9362151622772217,OFF
219,"europa league Song the EU, cash your remaining chips in and p*ss off :thumbs_up: You've played all your cards and liberals in the U.S too. Brexiteers and Trump takes it all so be nice eh and life'll be better for everyone. http","europa league Song the EU, cash your remaining chips in and p*ss off",0.9292654991149902,OFF
220,$1500 for a phone. You all are fucking dumb.,$1500 for a phone,0.8498364686965942,OFF
221,creepy porn president I WANT THIS TRENDING UNTIL HE IS OUT OF OFFICE http,I want this TRENDING UNTIL HE IS OUT OF OFFICE,0.966758131980896,OFF
222,how to get people out of your home Tell them that you're a vampire...then threaten to eat them if they don't get their asses out. *shrugs* What? Problem?,how to get people out of your home Tell them that you're a vampire...then,0.9454426169395447,OFF
223,"kavanaugh The moment blase y ford is exposed as a fraud, expect a new accuser to surface. Liberals are a one trick pony. liberalism is a mental disorder","kavanaugh The moment blase y ford is exposed as a fraud, expect a",0.9436389207839966,OFF
224,hi ac Why is it this match too with Becky vs Charlotte kinda sucky so far? They are taking shots back and forth and stumbling around like a drunk version of Final Fantasy or something.,hi ac Why is it this match too with Becky vs Charlotte kinda bad so far?,0.9411651492118835,OFF
225,"b cog she is cool, confident, cocky, and she kicks ass!!! http","she is cool, confident, and she is awesome",0.8902474641799927,OFF
226,chequers plan What an absolute farce Brexit is. The conservatives have no idea at all and May is now totally discredited. Time for an election for the many,chequers plan What an absolute farce Brexit is. The conservatives have no idea,0.9642503261566162,OFF
227,oh fuck off :face_with_tears_of_joy::face_with_tears_of_joy:,"Go away,face_with_tears_of_joy",0.9109910130500793,OFF
228,liberal hypocrisy criminal democrat evidence ellison liberals hypocrites Keith Ellison domestic violence accuser says Democratic party doesn't believe her story http,liberal hypocrisy criminal democrat evidence ellison liberals hypocrites Keith Ellison domestic violence accuser says Democratic,0.9845467209815979,OFF
229,democrat party of domestic terrorists fascist antifa femi nazi Don't Just walk away RUN! http,democrat party of domestic terrorists Don't Just walk away RUN! http,0.962429404258728,OFF
230,maga Tell me ONE good thing trump has done as president I dare you! He is the worst president in history.,maga Tell me ONE good thing trump has done as president I dare you! He,0.9587967395782471,OFF
231,Beats the hell NJ out of me lol. Dude already made the assumption that I'm antifa. He even ignored all the evidence to make that assumption.,Beats NJ out of me lol. Dude already made the assumption that I'm ant,0.9684982299804688,OFF
232,stop etc he co par Fuck you all :middle_finger::middle_finger::middle_finger::middle_finger::middle_finger: Que florezcan mil Baby Etchecopar :sunflower::sunflower::sunflower:,"Stop talking, he's gone.",0.6677100658416748,OFF
233,Laws are for the law abiding citizens. We have the second amendment. We don’t need more gun control. Criminals don’t care they will use guns until the end of time! Figure out how to stop them from using guns!,Laws are for the law abiding citizens. We have the second amendment. We don,0.9076210260391235,OFF
234,"antifa are mentally unstable cowards, pretending to be relevant. http",antifa are pretending to be relevant.,0.9306838512420654,OFF
235,And Browning looked like dog shit against the same FCS school. What’s your point?,And Browning looked bad against the same FCS school. What's your point?,0.9767216444015503,OFF
236,"1) Wow, safe sex! That's hot! We love a butch top who also receives! http","1) Wow, safe sex! That's hot! We love a butch top",0.9676138162612915,OFF
237,All two of them taste like ass. http,All two of them taste bad.,0.9038341045379639,OFF
238,3 people just unfollowed me for talking about merlin sorry y'all im still up covinsky's ass im just waiting for a psisly sequel announcement ive run out of witty and funny tweets about tatbilb i am drained,3 people just unfollowed me for talking about merlin sorry y'all im,0.9269854426383972,OFF
239,"wednesday wisdom Antifa calls the right fascist when, in all reality, they and the left are following the same scenario as the Third Reich: indoctrination of our youth, trying to control minorities and a total lack of understanding or knowledge of history. walk away","wednesday wisdom Antifa calls the right fascist when, in all reality, they and",0.9094952344894409,OFF
